"","Names","scores"
"1","Otu612",-1.60963216034773
"2","Otu93",-1.37978120766749
"3","Otu92",-1.36847921086551
"4","Otu90",-1.36622598710963
"5","Otu89",-1.34656922659625
"6","Otu88",-1.30425284913704
"7","Otu91",-1.23579873630993
"8","Otu94",-1.21417490917854
"9","Otu435",-0.844243928943568
"10","Otu1134",-0.81742574001024
"11","Otu425",-0.797145978730321
"12","Otu446",-0.783796315003644
"13","Otu415",-0.76972872999273
"14","Otu417",-0.75262594660748
"15","Otu419",-0.73052218117292
"16","Otu423",-0.716945059640967
"17","Otu1869",-0.533404052269462
"18","Otu95",-0.523854788187205
"19","Otu1135",-0.512670476353529
"20","Otu96",-0.470944353388102
"21","Otu1872",-0.468530709774385
"22","Otu1884",-0.461125168745753
"23","Otu462",-0.460115375672018
"24","Otu542",-0.428741148111127
"25","Otu98",-0.42344175094022
"26","Otu114",-0.417915889326824
"27","Otu97",-0.410419520433879
"28","Otu99",-0.410225896800441
"29","Otu103",-0.377212978783868
"30","Otu1615",-0.356161590656323
"31","Otu564",-0.336268570543333
"32","Otu721",-0.335024154591676
"33","Otu904",-0.319219221906061
"34","Otu1642",-0.303079419189904
"35","Otu1639",-0.300864213628024
"36","Otu1401",-0.289928890048083
"37","Otu478",-0.285810524636911
"38","Otu1643",-0.270422216999991
"39","Otu75",-0.269472772055894
"40","Otu2087",-0.266423480663107
"41","Otu1640",-0.263254438780795
"42","Otu486",-0.251628055721763
"43","Otu1138",-0.248803209674242
"44","Otu1644",-0.246957089577708
"45","Otu466",-0.240551613144893
"46","Otu474",-0.240254653370101
"47","Otu514",-0.236688613286607
"48","Otu1641",-0.235946372757611
"49","Otu497",-0.235425474209625
"50","Otu1605",-0.232084665651806
"51","Otu565",-0.2248085159224
"52","Otu532",-0.224750688444589
"53","Otu480",-0.216242950649306
"54","Otu534",-0.206160476634004
"55","Otu1622",-0.202056233047237
"56","Otu1336",-0.196512322604827
"57","Otu2350",-0.196095594000214
"58","Otu1298",-0.194135998124236
"59","Otu1636",-0.192469221526849
"60","Otu556",-0.191204044166812
